Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,Depth (msw),Dive Time (min),till 1st stop,21       air,18     air,15     air,12     air,9        air,12 oxygen,9        air,9  oxygen,6         air,6  oxygen,3       air,3  oxygen,Total deco time (min),Total OTU,Total ESOT,
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,240,12,12,150,0.3,,,,,,10,,,,,,,11.2,24,61,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,240,12,12,170,0.3,,,,,,15,,,,,,,16.2,35,91,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,240,12,12,190,0.3,,,,,,20,,,,,,,21.2,47,121,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,240,12,12,240,0.3,,,,,,20,5,5,,,,,31.2,57,143,3
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,90,0.6,,,,,,15,,,,,,,16.5,43,91,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,120,0.6,,,,,,20,,,,,,,21.5,57,121,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,130,0.6,,,,,,20,5,5,,,,,31.5,68,143,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,150,0.6,,,,,,20,5,10,,,,,36.5,79,165,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,170,0.6,,,,,,20,5,15,,,,,41.5,90,186,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,190,0.6,,,,,,20,5,20,,,,,46.5,101,208,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,210,0.6,,,,,,20,5,20,5,5,,,56.5,113,223,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,230,0.6,,,,,,20,5,20,5,10,,,61.5,124,237,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,180,12,15,240,0.6,,,,,,20,5,20,5,15,,,66.5,134,252,3
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,60,0.9,,,,,,15,,,,,,,16.8,49,109,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,70,0.9,,,,,,20,,,,,,,21.8,64,142,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,80,0.9,,,,,,20,5,,,,,,26.8,66,145,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,100,0.9,,,,,,20,5,5,,,,,31.8,80,173,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,110,0.9,,,,,,20,5,10,,,,,36.8,92,197,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,120,0.9,,,,,,20,5,15,,,,,41.8,104,222,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,130,0.9,,,,,,20,5,20,,,,,46.8,116,247,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,140,0.9,,,,,,20,5,20,5,5,,,56.8,128,264,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,160,0.9,,,,,,20,5,20,5,10,,,61.8,143,285,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,170,0.9,,,,,,20,5,20,5,15,,,66.8,155,303,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,120,12,18,180,0.9,,,,,,20,5,20,5,20,,,71.8,167,320,3
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,40,1.2,,,,,,10,,,,,,,12.1,38,76,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,50,1.2,,,,,,15,,,,,,,17.1,54,110,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,60,1.2,,,,,,20,5,,,,,,27.1,69,144,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,70,1.2,,,,,,20,5,5,,,,,32.1,83,170,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,80,1.2,,,,,,20,5,10,,,,,37.1,96,195,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,90,1.2,,,,,,20,5,15,,,,,42.1,109,220,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,100,1.2,,,,,,20,5,20,,,,,47.1,123,246,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,110,1.2,,,,,,20,5,20,5,5,,,57.1,136,264,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,120,1.2,,,,,,20,5,20,5,10,,,62.1,149,283,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,130,1.2,,,,,,20,5,20,5,15,,,67.1,163,301,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,140,1.2,,,,,,20,5,20,5,20,,,72.1,176,319,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,150,1.2,,,,,,20,5,20,5,20,5,5,82.1,189,332,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,160,1.2,,,,,,20,5,20,5,20,5,10,87.1,203,345,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,170,1.2,,,,,,20,5,20,5,20,5,15,92.1,216,358,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,90,12,21,180,1.2,,,,,,20,5,20,5,20,5,20,97.1,229,371,3
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,30,1.5,,,,,,10,,,,,,,12.4,39,75,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,40,1.5,,,,,,15,,,,,,,17.4,55,110,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,50,1.5,,,,,,20,5,5,,,,,32.4,82,167,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,70,1.5,,,,,,20,5,10,,,,,37.4,101,198,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,80,1.5,,,,,,20,5,20,,,,,47.4,125,246,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,90,1.5,,,,,,20,5,20,5,5,,,57.4,140,265,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,100,1.5,,,,,,20,5,20,5,15,,,67.4,164,299,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,110,1.5,,,,,,20,5,20,5,20,,,72.4,179,318,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,120,1.5,,,,,,20,5,20,5,20,5,5,82.4,193,332,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,130,1.5,,,,,,20,5,20,5,20,5,10,87.4,208,346,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,140,1.2,,,,,1,20,5,20,5,20,5,20,98.4,232,368,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,150,1.2,,,,,3,20,5,20,5,20,5,25,105.4,247,382,0
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,70,12,24,160,1.2,,,,,4,20,5,20,5,20,5,30,111.4,261,396,3
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,60,12,27,30,1.8,,,,,,15,,,,,,,17.7,54,109,1
"Dry or wet bell air diving, air-oxygen decompression tables",BOX15,20.9,60,12,27,40,1.8,,,,,,20,5,,,,,,27.7,72,145,0
