Title,Code,O2 %,Depth,dive time (min.),Repet interval 2h - OTU,Repet interval 2h - ESOT,Repet interval 4h - OTU2,Repet interval 4h - ESOT2,Repet interval 12h - OTU,Repet interval 12h - ESOT,
OTU_ESOT Repet times,sox15,20.9,12,140,,,40,106,,,
OTU_ESOT Repet times,sox15,20.9,12,150,,,51,130.,40,108.,
OTU_ESOT Repet times,sox15,20.9,12,160,,,61,147.,,,
OTU_ESOT Repet times,sox15,20.9,12,170,,,71,163.,51,133.,
OTU_ESOT Repet times,sox15,20.9,12,180,,,80,179.,51,133.,3
OTU_ESOT Repet times,sox15,20.9,15,80,,,47,101.,47,101.,
OTU_ESOT Repet times,sox15,20.9,15,100,,,59,127.,59,127.,
OTU_ESOT Repet times,sox15,20.9,15,110,,,70,144.,60,130.,
OTU_ESOT Repet times,sox15,20.9,15,120,,,80,161.,71,147.,
OTU_ESOT Repet times,sox15,20.9,15,130,,,91,178.,,,
OTU_ESOT Repet times,sox15,20.9,15,140,,,133,271.,82,166.,
OTU_ESOT Repet times,sox15,20.9,15,150,,,144,287.,93,183.,
OTU_ESOT Repet times,sox15,20.9,15,160,,,162,316.,103,200.,
OTU_ESOT Repet times,sox15,20.9,15,170,,,170,328.,126,263.,
OTU_ESOT Repet times,sox15,20.9,15,180,,,,,137,280.,3
OTU_ESOT Repet times,sox15,20.9,18,40,,,37,73.,37,73.,
OTU_ESOT Repet times,sox15,20.9,18,50,,,52,97.,52,97.,
OTU_ESOT Repet times,sox15,20.9,18,60,,,65,122.,65,122.,
OTU_ESOT Repet times,sox15,20.9,18,70,,,67,125.,67,125.,
OTU_ESOT Repet times,sox15,20.9,18,80,,,80,143.,,,3
OTU_ESOT Repet times,sox15,20.9,18,90,,,92,161.,82,146.,
OTU_ESOT Repet times,sox15,20.9,18,100,,,113,193.,94,164.,
OTU_ESOT Repet times,sox15,20.9,18,110,,,157,286.,106,181.,
OTU_ESOT Repet times,sox15,20.9,18,120,,,177,313.,118,199.,
OTU_ESOT Repet times,sox15,20.9,18,130,,,194,335.,152,277.,
OTU_ESOT Repet times,sox15,20.9,18,140,,,,,164,295.,
OTU_ESOT Repet times,sox15,20.9,18,150,,,,,176,312.,
OTU_ESOT Repet times,sox15,20.9,18,160,,,,,186,325.,
OTU_ESOT Repet times,sox15,20.9,18,170,,,,,196,337.,3
OTU_ESOT Repet times,sox15,20.9,21,30,,,39,72.,39,72.,
OTU_ESOT Repet times,sox15,20.9,21,40,,,55,98.,55,98.,
OTU_ESOT Repet times,sox15,20.9,21,50,,,69,123.,69,123.,
OTU_ESOT Repet times,sox15,20.9,21,60,,,83,142.,83,142.,
OTU_ESOT Repet times,sox15,20.9,21,70,,,97,160.,,,3
OTU_ESOT Repet times,sox15,20.9,21,80,,,119,193.,100,166.,
OTU_ESOT Repet times,sox15,20.9,21,90,,,174,302.,123,197.,
OTU_ESOT Repet times,sox15,20.9,21,100,,,193,325.,149,261.,
OTU_ESOT Repet times,sox15,20.9,21,110,,,,,172,294.,
OTU_ESOT Repet times,sox15,20.9,21,120,,,,,185,313.,
OTU_ESOT Repet times,sox15,20.9,21,130,,,,,197,326.,3
OTU_ESOT Repet times,sox15,20.9,24,30,,,43,75.,43,75.,
OTU_ESOT Repet times,sox15,20.9,24,40,,,71,123.,71,123.,
OTU_ESOT Repet times,sox15,20.9,24,50,,,86,143.,86,143.,
OTU_ESOT Repet times,sox15,20.9,24,60,,,100,162.,100,162.,
OTU_ESOT Repet times,sox15,20.9,24,70,,,157,271.,115,181.,3
OTU_ESOT Repet times,sox15,20.9,24,75,,,178,303.,,,
OTU_ESOT Repet times,sox15,20.9,24,80,,,188,315.,152,261.,
OTU_ESOT Repet times,sox15,20.9,24,90,,,,,176,295.,
OTU_ESOT Repet times,sox15,20.9,24,100,,,,,191,315.,
OTU_ESOT Repet times,sox15,20.9,24,110,,,,,210,337.,3
OTU_ESOT Repet times,sox15,20.9,27,20,,,40,73.,40,73.,
OTU_ESOT Repet times,sox15,20.9,27,30,,,58,100.,58,100.,
OTU_ESOT Repet times,sox15,20.9,27,40,,,86,142.,86,142.,
OTU_ESOT Repet times,sox15,20.9,27,50,,,111,177.,102,166.,
OTU_ESOT Repet times,sox15,20.9,27,60,,,159,273.,127,197.,3
OTU_ESOT Repet times,sox15,20.9,27,65,,,181,305.,,,
OTU_ESOT Repet times,sox15,20.9,27,70,,,199,327.,165,278.,
OTU_ESOT Repet times,sox15,20.9,27,80,,,,,181,299.,
OTU_ESOT Repet times,sox15,20.9,27,90,,,,,204,328.,3
OTU_ESOT Repet times,sox15,20.9,30,20,,,43,75.,43,75.,
OTU_ESOT Repet times,sox15,20.9,30,30,,,74,125.,74,125.,
OTU_ESOT Repet times,sox15,20.9,30,40,,,100,161.,100,161.,3
OTU_ESOT Repet times,sox15,20.9,30,50,,,159,273.,117,183.,
OTU_ESOT Repet times,sox15,20.9,30,55,,,182,305.,,,
OTU_ESOT Repet times,sox15,20.9,30,60,,,200,328.,166,280.,
OTU_ESOT Repet times,sox15,20.9,30,70,,,,,193,316.,
OTU_ESOT Repet times,sox15,20.9,30,80,,,,,215,341.,3
OTU_ESOT Repet times,sox15,20.9,33,10,,,36,70.,36,70.,
OTU_ESOT Repet times,sox15,20.9,33,20,,,57,99.,57,99.,
OTU_ESOT Repet times,sox15,20.9,33,30,,,87,144.,87,144.,
OTU_ESOT Repet times,sox15,20.9,33,40,,,115,181.,115,181.,
OTU_ESOT Repet times,sox15,20.9,33,45,,,160,275.,,,
OTU_ESOT Repet times,sox15,20.9,33,50,,,191,318.,133,204.,
OTU_ESOT Repet times,sox15,20.9,33,60,,,,,183,302.,
OTU_ESOT Repet times,sox15,20.9,33,70,,,,,208,333.,3
OTU_ESOT Repet times,sox15,20.9,36,10,,,38,71.,38,71.,
OTU_ESOT Repet times,sox15,20.9,36,20,,,60,102.,60,102.,
OTU_ESOT Repet times,sox15,20.9,36,30,,,100,163.,100,163.,
OTU_ESOT Repet times,sox15,20.9,36,40,,,170,292.,129,202.,
OTU_ESOT Repet times,sox15,20.9,36,45,,,192,321.,,,
OTU_ESOT Repet times,sox15,20.9,36,50,,,,,170,287.,
OTU_ESOT Repet times,sox15,20.9,36,60,,,,,194,321.,
OTU_ESOT Repet times,sox15,20.9,36,70,,,,,206,335.,3
OTU_ESOT Repet times,sox15,20.9,39,10,,,39,73.,39,73.,
OTU_ESOT Repet times,sox15,20.9,39,20,,,74,127.,74,127.,
