Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,Marker
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,240,12,12,1.12,18,90,1.5,,,,,,,,1,2.8,109,119,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,240,12,12,1.12,18,100,1.5,,,,,,,,3,4.8,121,133,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,240,12,12,1.12,18,110,1.5,,,,,,,,7,8.8,133,147,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,240,12,12,1.12,18,120,1.5,,,,,,,,11,12.8,145,160,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,240,12,12,1.12,18,130,1.5,,,,,,,,15,16.8,158,174,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,240,12,12,1.12,18,140,1.5,,,,,,,,19,20.8,170,188,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,240,12,12,1.12,18,150,1.5,,,,,,,,23,24.8,182,202,3
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,60,1.8,,,,,,,,1,3.1,85,102,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,70,1.8,,,,,,,,5,7.1,99,119,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,80,1.8,,,,,,,,10,12.1,113,136,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,90,1.8,,,,,,,,16,18.1,127,154,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,100,1.8,,,,,,,,24,26.1,142,172,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,110,1.8,,,,,,,,32,34.1,156,190,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,120,1.8,,,,,,,,39,41.1,170,208,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,130,1.8,,,,,,,,47,49.1,185,227,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,140,1.8,,,,,,,,54,56.1,199,244,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,180,12,14.4,1.24,21,150,1.8,,,,,,,,60,62.1,213,262,3
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,40,2.1,,,,,,,,1,3.4,65,86,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,50,2.1,,,,,,,,4,6.4,81,107,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,60,2.1,,,,,,,,9,11.4,97,128,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,70,2.1,,,,,,,,19,21.4,113,150,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,80,2.1,,,,,,,,30,32.4,130,173,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,90,2.1,,,,,,,,40,42.4,146,195,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,100,1.8,,,,,,,1,50,53.4,163,218,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,110,1.8,,,,,,,3,58,63.4,180,240,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,120,12,16.7,1.36,24,120,1.8,,,,,,,5,66,73.4,197,263,3
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,90,12,19.1,1.48,27,30,2.4,,,,,,,,1,3.7,55,80,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,90,12,19.1,1.48,27,40,2.4,,,,,,,,4,6.7,73,105,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,90,12,19.1,1.48,27,50,2.4,,,,,,,,11,13.7,91,131,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,90,12,19.1,1.48,27,60,2.4,,,,,,,,25,27.7,109,159,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,90,12,19.1,1.48,27,70,2.1,,,,,,,1,38,41.7,128,186,0
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,90,12,19.1,1.48,27,80,2.1,,,,,,,4,48,54.7,147,214,1
Nitrox 40%O2 - 60%N2 decompression tables,H2NIA15,40,90,12,19.1,1.48,27,90,2.1,,,,,,,7,59,68.7,167,242,3
