DVIS 5 Time Limit,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,
240,12,120,0.9,,,,,,,,2,3.2,,21,
240,12,130,0.9,,,,,,,,3,4.2,,23,
240,12,140,0.9,,,,,,,,5,6.2,,24,
240,12,150,0.9,,,,,,,,6,7.2,,26,
240,12,160,0.9,,,,,,,,9,10.2,,28,
240,12,170,0.9,,,,,,,,13,14.2,,30,
240,12,180,0.9,,,,,,,,17,18.2,,32,3
180,15,70,1.2,,,,,,,,2,3.5,6,16,
180,15,80,1.2,,,,,,,,7,8.5,7,19,
180,15,90,1.2,,,,,,,,11,12.5,7,21,
180,15,100,1.2,,,,,,,,14,15.5,8,24,
180,15,110,1.2,,,,,,,,17,18.5,9,26,
180,15,120,1.2,,,,,,,,24,25.5,10,29,
180,15,130,1.2,,,,,,,,30,31.5,11,32,2
180,15,140,1.2,,,,,,,,35,36.5,12,34,
180,15,150,1.2,,,,,,,,40,41.5,12,37,3
120,18,40,1.5,,,,,,,,2,3.8,9,12,
120,18,50,1.5,,,,,,,,5,6.8,12,16,
120,18,60,1.5,,,,,,,,10,11.8,14,19,
120,18,70,1.5,,,,,,,,16,17.8,16,22,
120,18,80,1.5,,,,,,,,21,22.8,19,25,
120,18,90,1.5,,,,,,,,26,27.8,21,28,2
120,18,100,1.2,,,,,,,2,35,38.8,24,32,
120,18,110,1.2,,,,,,,6,40,47.8,26,36,
120,18,120,1.2,,,,,,,8,46,55.8,28,39,
120,18,130,1.2,,,,,,,10,51,62.8,31,42,
120,18,140,1.2,,,,,,,12,59,72.8,33,46,
120,18,150,1.2,,,,,,,13,67,81.8,35,49,3
90,21,25,1.8,,,,,,,,2,4.1,9,10,
90,21,30,1.8,,,,,,,,3,5.1,11,12,
90,21,35,1.8,,,,,,,,5,7.1,13,14,
90,21,40,1.8,,,,,,,,7,9.1,15,16,
90,21,45,1.8,,,,,,,,9,11.1,17,18,
90,21,50,1.8,,,,,,,,14,16.1,18,20,
90,21,55,1.5,,,,,,,1,17,20.1,20,22,
90,21,60,1.5,,,,,,,2,20,24.1,22,24,
90,21,65,1.5,,,,,,,3,23,28.1,24,26,
90,21,70,1.5,,,,,,,4,25,31.1,26,28,2
90,21,75,1.5,,,,,,,5,29,36.1,28,31,
90,21,80,1.5,,,,,,,8,34,44.1,29,33,
90,21,85,1.5,,,,,,,11,37,50.1,31,35,
90,21,90,1.5,,,,,,,13,41,56.1,33,37,3
70,24,15,2.1,,,,,,,,1,3.4,7,8,
70,24,20,2.1,,,,,,,,3,5.4,10,10,
70,24,25,2.1,,,,,,,,4,6.4,12,13,
70,24,30,1.8,,,,,,,1,6,9.4,15,15,
70,24,35,1.8,,,,,,,2,8,12.4,17,18,
70,24,40,1.8,,,,,,,2,12,16.4,20,20,
70,24,45,1.8,,,,,,,3,17,22.4,22,23,
70,24,50,1.8,,,,,,,5,20,27.4,25,25,
70,24,55,1.8,,,,,,,6,23,31.4,27,28,2
70,24,60,1.8,,,,,,,7,26,35.4,30,30,
70,24,65,1.8,,,,,,,11,31,44.4,32,33,
70,24,70,1.8,,,,,,,15,36,53.4,35,36,
70,24,75,1.8,,,,,,,18,40,60.4,37,39,
70,24,80,1.5,,,,,,1,19,45,67.4,40,42,3
60,27,15,2.4,,,,,,,,2,4.7,10,10,
60,27,20,2.4,,,,,,,,5,7.7,13,13,
60,27,25,2.1,,,,,,,2,6,10.7,16,16,
60,27,30,2.1,,,,,,,3,8,13.7,19,19,
60,27,35,2.1,,,,,,,4,13,19.7,22,22,
60,27,40,1.8,,,,,,1,5,18,26.7,25,25,
60,27,45,1.8,,,,,,1,7,22,32.7,28,28,2
60,27,50,1.8,,,,,,1,9,25,37.7,31,31,
60,27,55,1.8,,,,,,2,12,30,46.7,34,35,
60,27,60,1.8,,,,,,3,16,36,57.7,37,38,
60,27,65,1.8,,,,,,4,18,42,66.7,40,42,
60,27,70,1.8,,,,,,5,21,46,74.7,43,45,
60,27,75,1.8,,,,,,6,23,51,82.7,46,48,
60,27,80,1.8,,,,,,9,23,59,93.7,49,52,3
50,30,10,2.7,,,,,,,,1,4,8,9,
50,30,15,2.4,,,,,,,1,3,7,11,12,
50,30,20,2.4,,,,,,,2,5,10,15,15,
50,30,25,2.4,,,,,,,4,8,15,19,19,
50,30,30,2.1,,,,,,1,4,12,20,22,23,
50,30,35,2.1,,,,,,2,6,18,29,26,27,2
50,30,40,2.1,,,,,,3,8,22,36,30,30,
50,30,45,2.1,,,,,,3,10,26,42,33,34,
50,30,50,2.1,,,,,,5,14,33,55,37,38,
50,30,55,2.1,,,,,,6,18,40,67,41,43,
50,30,60,2.1,,,,,,8,21,45,77,44,47,3
40,33,10,3,,,,,,,,2,5.3,9,10,
40,33,15,2.7,,,,,,,2,4,9.3,13,14,
40,33,20,2.4,,,,,,1,3,7,14.3,18,18,
40,33,25,2.4,,,,,,2,4,10,19.3,22,23,
40,33,30,2.4,,,,,,3,6,17,29.3,26,27,2
40,33,35,2.1,,,,,1,3,8,22,37.3,30,32,
40,33,40,2.1,,,,,1,4,11,26,45.3,34,36,
40,33,45,2.1,,,,,2,6,15,34,60.3,39,41,
40,33,50,2.1,,,,,2,7,19,42,73.3,43,46,
40,33,55,2.1,,,,,2,9,22,48,84.3,47,51,
40,33,60,2,,,,,4,12,23,57,99.3,51,56,3
35,36,10,3,,,,,,,1,3,7.6,11,12,
35,36,15,2.7,,,,,,1,2,5,11.6,15,17,
35,36,20,2.7,,,,,,2,4,8,17.6,20,22,
35,36,25,2.7,,,,,,4,5,14,26.6,25,27,2
35,36,30,2.4,,,,,2,3,8,21,37.6,29,32,
35,36,35,2.4,,,,,2,5,9,26,45.6,34,38,
35,36,40,2.4,,,,,3,6,15,34,61.6,39,43,
35,36,45,2.4,,,,,3,8,20,42,76.6,44,49,
35,36,50,2.1,,,,1,4,9,23,50,90.6,48,54,
35,36,55,2.1,,,,1,6,13,23,61,107.6,53,60,
35,36,60,2,,,,1,7,17,23,71,123,58,66,3
30,39,5,3.6,,,,,,,,1,4.9,7,9,
30,39,10,3.3,,,,,,,2,3,8.9,12,15,
30,39,15,3,,,,,,1,4,5,13.9,17,20,
30,39,20,2.7,,,,,1,3,4,10,21.9,22,26,
30,39,25,2.7,,,,,2,4,6,19,34.9,28,32,2
30,39,30,2.7,,,,,3,4,9,25,44.9,33,38,
30,39,35,2.4,,,,1,3,7,14,32,60.9,38,44,
30,39,40,2.4,,,,2,3,8,20,41,77.9,44,51,
30,39,45,2.4,,,,2,5,10,23,49,92.9,49,57,
30,39,50,2.4,,,,2,7,14,23,62,111.9,54,64,
30,39,55,2.4,,,,3,8,18,23,77,132.9,59,71,
30,39,60,2,,,,4,9,21,30,109,177,65,79,3
30,42,5,3.9,,,,,,,,2,6.2,7,11,
30,42,10,3.3,,,,,,1,1,5,11.2,13,17,
30,42,15,3,,,,,1,2,4,7,18.2,19,23,
30,42,20,3,,,,,2,3,5,14,28.2,25,30,2
30,42,25,3,,,,,4,3,9,21,41.2,31,37,
30,42,30,2.7,,,,2,3,6,12,28,55.2,37,44,
30,42,35,2.7,,,,3,3,8,18,40,76.2,42,52,
30,42,40,2.7,,,,3,5,9,23,48,92.2,48,59,
30,42,45,2.4,,,1,3,7,14,23,62,114.2,54,67,
30,42,50,2.4,,,1,4,8,18,24,80,139.2,60,75,
30,42,55,2.4,,,1,6,10,20,32,116,189.2,66,84,
30,42,60,2.4,,,2,6,14,20,40,150,236.2,72,94,3
25,45,5,4.2,,,,,,,,2,6.5,8,13,
25,45,10,3.7,,,,,,2,2,4,12.5,15,20,
25,45,15,3.3,,,,,1,3,4,9,21.5,21,27,2
25,45,20,3,,,,1,2,4,6,18,35.5,27,34,
25,45,25,3,,,,2,3,5,9,25,48.5,34,42,
25,45,30,3,,,,3,4,7,16,35,69.5,40,51,
25,45,35,2.7,,,1,3,5,9,22,46,90.5,46,59,
25,45,40,2.7,,,2,3,7,13,23,59,111.5,53,68,
25,45,45,2.7,,,2,5,7,19,23,77,137.5,59,77,
25,45,50,2.7,,,3,6,10,20,32,117,192.5,66,88,
25,45,55,2.7,,,3,7,15,20,40,154,243.5,72,99,
25,45,60,2.7,,,5,7,18,20,47,189,290.5,79,109,3
25,48,5,4.2,,,,,,,1,2,7.8,9,15,
25,48,10,3.6,,,,,1,1,3,5,14.8,16,22,
25,48,15,3.3,,,,1,1,4,4,10,24.8,23,30,2
25,48,20,3.3,,,,2,3,3,8,21,41.8,30,40,
25,48,25,3,,,1,3,3,6,12,29,58.8,37,49,
25,48,30,3,,,2,3,4,8,20,41,82.8,44,58,
25,48,35,3,,,3,3,7,11,23,54,105.8,51,68,
25,48,40,2.7,,1,3,4,8,17,23,71,131.8,58,78,
25,48,45,2.7,,1,3,6,10,20,31,112,187.8,65,90,
25,48,50,2.7,,2,3,7,15,20,40,153,244.8,72,102,3
20,51,5,4.5,,,,,,,2,2,9.1,10,17,
20,51,10,3.9,,,,,1,2,4,5,17.1,18,25,
20,51,15,3.6,,,,1,2,4,5,13,30.1,25,35,2
20,51,20,3.3,,,1,2,3,4,9,24,48.1,32,45,
20,51,25,3.3,,,2,3,3,8,16,35,72.1,40,56,
20,51,30,3,,1,2,3,6,8,23,47,95.1,48,66,
