Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,Marker
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,70,1.5,,,,,,,,1,2.8,68,69,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,80,1.5,,,,,,,,5,6.8,78,79,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,90,1.5,,,,,,,,8,9.8,88,89,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,100,1.5,,,,,,,,11,12.8,97,99,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,110,1.5,,,,,,,,13,14.8,107,109,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,120,1.5,,,,,,,,19,20.8,117,120,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,130,1.5,,,,,,,,24,25.8,126,130,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,140,1.5,,,,,,,,28,29.8,136,140,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,180,4,13.8,0.99,18,150,1.5,,,,,,,,32,33.8,146,150,3
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,50,1.8,,,,,,,,3,5.1,58,63,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,60,1.8,,,,,,,,7,9.1,69,76,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,70,1.8,,,,,,,,12,14.1,81,89,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,80,1.8,,,,,,,,16,18.1,92,102,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,90,1.8,,,,,,,,20,22.1,104,114,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,100,1.8,,,,,,,,28,30.1,115,128,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,110,1.5,,,,,,,1,33,36.1,127,141,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,120,1.5,,,,,,,3,38,43.1,138,154,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,130,1.5,,,,,,,4,42,48.1,150,167,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,140,1.5,,,,,,,6,48,56.1,162,181,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,16.3,1.09,21,150,1.5,,,,,,,7,54,63.1,173,194,3
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,30,2.1,,,,,,,,2,4.4,41,49,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,40,2.1,,,,,,,,4,6.4,54,64,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,50,2.1,,,,,,,,9,11.4,67,80,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,60,2.1,,,,,,,,16,18.4,80,96,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,70,2.1,,,,,,,,21,23.4,93,111,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,80,1.8,,,,,,,2,27,31.4,106,127,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,90,1.8,,,,,,,6,33,41.4,120,144,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,100,1.8,,,,,,,9,38,49.4,134,161,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,110,1.8,,,,,,,12,44,58.4,147,177,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,120,4,18.9,1.2,24,120,1.8,,,,,,,14,52,68.4,161,194,3
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,90,4,21.4,1.3,27,20,2.4,,,,,,,,1,3.7,31,41,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,90,4,21.4,1.3,27,30,2.4,,,,,,,,4,6.7,46,60,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,90,4,21.4,1.3,27,40,2.4,,,,,,,,8,10.7,61,78,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,90,4,21.4,1.3,27,50,2.1,,,,,,,1,16,19.7,76,97,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,90,4,21.4,1.3,27,60,2.1,,,,,,,4,20,26.7,91,117,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,90,4,21.4,1.3,27,70,2.1,,,,,,,7,28,37.7,106,137,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,90,4,21.4,1.3,27,80,2.1,,,,,,,12,35,49.7,122,158,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,90,4,21.4,1.3,27,90,2.1,,,,,,,15,42,59.7,137,178,3
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,70,4,24,1.41,30,20,2.7,,,,,,,,3,6,35,50,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,70,4,24,1.41,30,30,2.4,,,,,,,1,6,10,51,72,1
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,70,4,24,1.41,30,40,2.4,,,,,,,2,14,19,68,95,0
Nitrox 35%O2 - 75%N2 decompression tables,HNIB15,35,70,4,24,1.41,30,50,2.4,,,,,,,5,20,28,85,118,1
