Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,21,18,15,12,9,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,12,0.462,12,140,1.2,,,,,,5,,,,1,41,50,0,28,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,12,0.462,12,150,1.2,,,,,,5,,,,2,48,58,0,30,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,12,0.462,12,160,1.2,,,,,,5,,,,3,55,66,0,32,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,12,0.462,12,170,1.2,,,,,,5,,,,4,63,75,0,34,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,12,0.462,12,180,1.2,,,,,,5,,,,5,77,90,0,37,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,15,0.525,15,80,1.5,,,,,,5,,,,4,25,37.3,8,22,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,15,0.525,15,100,1.5,,,,,,5,,,,13,42,63.3,9,28,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,15,0.525,15,110,1.5,,,,,,5,,,,16,56,80.3,10,31,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,15,0.525,15,120,1.5,,,,,,5,,,,18,77,103.3,11,35,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,15,0.525,15,130,1.5,,,,,,5,,,,20,98,126.3,12,38,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,15,0.525,15,140,1.5,,,,,,5,,,,22,117,147.3,13,42,0,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,15,0.525,15,150,1.5,,,,,,5,,,,23,136,167.3,14,45,1,,,,,,,,,,,,,,,,,,,,,
Air Diving Surface Decompression Air Backup Tables,HSAB15,21,,4,15,0.525,15,160,1.5,,,,,,5,,,,24,155,187.3,14,48,0,,,,,,,,,,,,,,,,,,,,,
