Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,Depth (msw),Dive Time (min),till 1st stop,21 air,18 air,15 air,12 air,9 air,12 oxygen,9 air,9 oxygen,6 air,6 oxygen,3 air,3 oxygen,Total deco time (min),Total OTU,Total ESOT,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,140,1.2,,,,,,10,,5,,,,,17.4,40,82,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,150,1.2,,,,,,10,,10,,,,,22.4,51,104,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,160,1.2,,,,,,10,,10,5,5,,,32.4,61,119,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,170,1.2,,,,,,10,,10,5,10,,,37.4,71,133,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,12,180,1.2,,,,,,10,,10,5,15,,,42.4,80,148,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,80,1.5,,,,,,10,,5,,,,,17.7,47,82,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,100,1.5,,,,,,10,,10,,,,,22.7,59,104,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,110,1.5,,,,,,10,,10,5,5,,,32.7,70,119,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,120,1.5,,,,,,10,,10,5,10,,,37.7,80,133,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,130,1.5,,,,,,10,,10,5,15,,,42.7,91,148,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,140,1.5,,,,,,20,5,20,5,10,,,62.7,133,237,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,150,1.5,,,,,,20,5,20,5,15,,,67.7,144,252,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,160,1.5,,,,,,20,5,20,5,20,5,5,82.7,162,276,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,15,170,1.5,,,,,,20,5,20,5,20,5,10,87.7,170,285,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,40,1.8,,,,,,10,,,,,,,13,37,73,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,50,1.8,,,,,,10,,5,,,,,18,52,98,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,60,1.8,,,,,,10,,10,,,,,23,65,122,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,70,1.8,,,,,,10,,10,5,,,,28,67,125,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,80,1.8,,,,,,10,,10,5,5,,,33,80,143,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,90,1.8,,,,,,10,,10,5,10,,,38,92,160,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,100,1.8,,,,,,10,,10,5,20,,,48,113,193,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,110,1.8,,,,,,20,5,20,5,15,,,68,157,285,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,120,1.8,,,,,,20,5,20,5,20,5,5,83,177,312,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,18,130,1.8,,,,,,20,5,20,5,20,5,15,93,194,333,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,30,2.1,,,,,,10,,,,,,,13.3,39,73,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,40,2.1,,,,,,10,,5,,,,,18.3,55,98,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,50,2.1,,,,,,10,,10,,,,,23.3,69,123,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,60,2.1,,,,,,10,,10,5,5,,,33.3,83,142,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,70,2.1,,,,,,10,,10,5,10,,,38.3,97,160,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,80,2.1,,,,,,10,,10,5,20,,,48.3,119,193,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,90,2.1,,,,,,20,5,20,5,20,,,73.3,174,301,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,21,100,2.1,,,,,,20,5,20,5,20,5,10,88.3,193,323,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,30,2.4,,,,,,10,,,,,,,13.6,43,76,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,40,2.4,,,,,,10,,10,,,,,23.6,71,124,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,50,2.4,,,,,,10,,10,5,5,,,33.6,86,143,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,60,2.4,,,,,,10,,10,5,10,,,38.6,100,162,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,70,2.4,,,,,,20,5,20,5,10,,,63.6,157,271,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,75,2.4,,,,,,20,5,20,5,20,,,73.6,178,302,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,24,80,1.5,,,,,1,20,5,20,5,20,5,5,84.6,188,313,3
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,20,2.7,,,,,,10,,,,,,,13.9,40,73,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,30,2.7,,,,,,10,,5,,,,,18.9,58,101,
Air Diving Surface Decpmpression with Oxygen,HSOX15,20.9,,4,27,40,2.7,,,,,,10,,10,5,5,,,33.9,86,143,
