Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,Marker
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,70,1.5,,,,,,,,1,2.8,68,69,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,80,1.5,,,,,,,,5,6.8,78,79,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,90,1.5,,,,,,,,8,9.8,88,89,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,100,1.5,,,,,,,,11,12.8,97,99,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,110,1.5,,,,,,,,13,14.8,107,109,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,120,1.5,,,,,,,,14,15.8,117,119,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,130,1.5,,,,,,,,19,20.8,126,129,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,140,1.5,,,,,,,,24,25.8,136,140,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,180,12,13.8,0.99,18,150,1.5,,,,,,,,29,30.8,146,150,3
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,50,1.8,,,,,,,,3,5.1,58,63,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,60,1.8,,,,,,,,6,8.1,69,76,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,70,1.8,,,,,,,,11,13.1,81,89,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,80,1.8,,,,,,,,16,18.1,92,102,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,90,1.8,,,,,,,,19,21.1,104,114,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,100,1.8,,,,,,,,22,24.1,115,127,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,110,1.5,,,,,,,1,28,31.1,127,140,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,120,1.5,,,,,,,3,33,38.1,138,153,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,130,1.5,,,,,,,4,38,44.1,150,166,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,140,1.5,,,,,,,6,41,49.1,162,179,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,16.3,1.09,21,150,1.5,,,,,,,7,45,54.1,173,192,3
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,30,2.1,,,,,,,,2,4.4,41,49,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,40,2.1,,,,,,,,4,6.4,54,64,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,50,2.1,,,,,,,,9,11.4,67,80,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,60,2.1,,,,,,,,15,17.4,80,95,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,70,2.1,,,,,,,,21,23.4,93,111,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,80,1.8,,,,,,,2,23,27.4,106,127,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,90,1.8,,,,,,,6,27,35.4,120,143,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,100,1.8,,,,,,,9,33,44.4,134,160,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,110,1.8,,,,,,,12,38,52.4,147,176,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,120,12,18.9,1.2,24,120,1.8,,,,,,,13,44,59.4,161,192,3
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,90,12,21.4,1.3,27,20,2.4,,,,,,,,1,3.7,31,41,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,90,12,21.4,1.3,27,30,2.4,,,,,,,,4,6.7,46,60,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,90,12,21.4,1.3,27,40,2.4,,,,,,,,8,10.7,61,78,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,90,12,21.4,1.3,27,50,2.1,,,,,,,1,16,19.7,76,97,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,90,12,21.4,1.3,27,60,2.1,,,,,,,4,20,26.7,91,117,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,90,12,21.4,1.3,27,70,2.1,,,,,,,7,23,32.7,106,136,1
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,90,12,21.4,1.3,27,80,2.1,,,,,,,12,29,43.7,122,157,0
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,90,12,21.4,1.3,27,90,2.1,,,,,,,15,36,53.7,137,177,3
Nitrox 35%O2 - 75%N2 decompression tables,NIB15,35,70,12,24,1.41,30,20,2.7,,,,,,,,3,6,35,50,0
