Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,EAD m/sw,PO2 Bar,Depth (msw),Dive Time (min),till 1st stop,21,18,15,12,9,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,12,0.46,12,150,1.2,,,,,,5,,,,2,31,41,0,29,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,12,0.46,12,170,1.2,,,,,,5,,,,4,39,51,0,33,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,12,0.46,12,180,1.2,,,,,,5,,,,5,46,59,0,35,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,80,1.5,,,,,,5,,,,3,26,37.3,8,22,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,100,1.5,,,,,,5,,,,12,26,46.3,9,27,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,110,1.5,,,,,,5,,,,15,33,56.3,10,30,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,120,1.5,,,,,,5,,,,18,38,64.3,11,33,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,130,1.5,,,,,,5,,,,20,46,74.3,12,36,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,140,1.5,,,,,,5,,,,22,56,86.3,13,39,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,150,1.5,,,,,,5,,,,23,65,96.3,14,41,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,160,1.5,,,,,,5,,,,24,74,106.3,14,44,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,170,1.5,,,,,,5,,,,25,81,114.3,15,47,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,15,0.53,15,180,1.5,,,,,,5,,,,30,85,123.3,16,50,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,40,1.8,,,,,,5,,,,,13,21.6,11,15,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,50,1.8,,,,,,5,,,,2,22,32.6,13,18,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,60,1.8,,,,,,5,,,,7,26,41.6,15,22,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,70,1.8,,,,,,5,,,,15,25,48.6,18,25,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,90,1.8,,,,,,5,,,,25,36,69.6,22,33,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,100,1.8,,,,,,5,,,5,25,44,82.6,25,37,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,110,1.8,,,,,,5,,,9,25,59,101.6,27,41,1,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,120,1.8,,,,,,5,,,12,26,72,118.6,29,45,0,,,,,,,,,,,,,,,,,,,
"air diving, surface decompression air backup tables",SAB15,21,,12,18,0.59,18,130,1.8,,,,,,5,,,15,28,81,132.6,32,49,1,,,,,,,,,,,,,,,,,,,
