DVIS 5 Time Limit,Depth (msw),Dive Time (min),till 1st stop,24,21,18,15,12,9,6,3,Total deco time (min),Total OTU,Total ESOT,,,,,,,,,,,,,,,,,,,,
240,12,120,0.9,,,,,,,,1,2.2,,21,,,,,,,,,,,,,,,,,,,,
240,12,130,0.9,,,,,,,,3,4.2,,23,,,,,,,,,,,,,,,,,,,,
240,12,140,0.9,,,,,,,,5,6.2,,24,,,,,,,,,,,,,,,,,,,,
240,12,150,0.9,,,,,,,,6,7.2,,26,,,,,,,,,,,,,,,,,,,,
240,12,160,0.9,,,,,,,,7,8.2,,28,,,,,,,,,,,,,,,,,,,,
240,12,170,0.9,,,,,,,,9,10.2,,30,,,,,,,,,,,,,,,,,,,,
240,12,180,0.9,,,,,,,,13,14.2,,32,3,,,,,,,,,,,,,,,,,,,
180,15,70,1.2,,,,,,,,2,3.5,6,16,,,,,,,,,,,,,,,,,,,,
180,15,80,1.2,,,,,,,,7,8.5,7,19,,,,,,,,,,,,,,,,,,,,
180,15,90,1.2,,,,,,,,11,12.5,7,21,,,,,,,,,,,,,,,,,,,,
180,15,100,1.2,,,,,,,,14,15.5,8,24,,,,,,,,,,,,,,,,,,,,
180,15,110,1.2,,,,,,,,17,18.5,9,26,,,,,,,,,,,,,,,,,,,,
180,15,120,1.2,,,,,,,,19,20.5,10,29,,,,,,,,,,,,,,,,,,,,
180,15,130,1.2,,,,,,,,24,25.5,11,31,,,,,,,,,,,,,,,,,,,,
180,15,140,1.2,,,,,,,,31,32.5,12,34,2,,,,,,,,,,,,,,,,,,,
180,15,150,1.2,,,,,,,,36,37.5,12,36,,,,,,,,,,,,,,,,,,,,
180,15,160,1.2,,,,,,,,41,42.5,13,39,,,,,,,,,,,,,,,,,,,,
180,15,170,1.2,,,,,,,,45,46.5,14,42,,,,,,,,,,,,,,,,,,,,
180,15,180,1.2,,,,,,,,49,50.5,15,44,3,,,,,,,,,,,,,,,,,,,
120,18,40,1.5,,,,,,,,2,3.8,9,12,,,,,,,,,,,,,,,,,,,,
120,18,50,1.5,,,,,,,,5,6.8,12,16,,,,,,,,,,,,,,,,,,,,
120,18,60,1.5,,,,,,,,10,11.8,14,19,,,,,,,,,,,,,,,,,,,,
120,18,70,1.5,,,,,,,,16,17.8,16,22,,,,,,,,,,,,,,,,,,,,
120,18,80,1.5,,,,,,,,21,22.8,19,25,,,,,,,,,,,,,,,,,,,,
120,18,90,1.5,,,,,,,,25,26.8,21,28,,,,,,,,,,,,,,,,,,,,
120,18,100,1.2,,,,,,,2,28,31.8,24,32,2,,,,,,,,,,,,,,,,,,,
120,18,110,1.2,,,,,,,5,35,41.8,26,35,,,,,,,,,,,,,,,,,,,,
120,18,120,1.2,,,,,,,8,41,50.8,28,39,,,,,,,,,,,,,,,,,,,,
120,18,130,1.2,,,,,,,10,47,58.8,31,42,,,,,,,,,,,,,,,,,,,,
120,18,140,1.2,,,,,,,12,51,64.8,33,45,,,,,,,,,,,,,,,,,,,,
120,18,150,1.2,,,,,,,13,55,69.8,35,49,3,,,,,,,,,,,,,,,,,,,
90,21,25,1.8,,,,,,,,2,4.1,9,10,,,,,,,,,,,,,,,,,,,,
90,21,30,1.8,,,,,,,,3,5.1,11,12,,,,,,,,,,,,,,,,,,,,
90,21,35,1.8,,,,,,,,5,7.1,13,14,,,,,,,,,,,,,,,,,,,,
90,21,40,1.8,,,,,,,,7,9.1,15,16,,,,,,,,,,,,,,,,,,,,
90,21,45,1.8,,,,,,,,9,11.1,17,18,,,,,,,,,,,,,,,,,,,,
90,21,50,1.8,,,,,,,,13,15.1,18,20,,,,,,,,,,,,,,,,,,,,
90,21,55,1.5,,,,,,,1,17,20.1,20,22,,,,,,,,,,,,,,,,,,,,
90,21,60,1.5,,,,,,,2,20,24.1,22,24,,,,,,,,,,,,,,,,,,,,
90,21,65,1.5,,,,,,,3,22,27.1,24,26,,,,,,,,,,,,,,,,,,,,
90,21,70,1.5,,,,,,,4,24,30.1,26,28,,,,,,,,,,,,,,,,,,,,
90,21,75,1.5,,,,,,,5,26,33.1,28,30,2,,,,,,,,,,,,,,,,,,,
90,21,80,1.5,,,,,,,8,26,36.1,29,33,,,,,,,,,,,,,,,,,,,,
