Title,Code,O2 % in Gas,DVIS 5 Time Limit,Surface Interval Hours,Depth (msw),Dive Time (min),till 1st stop,21 air,18 air,15 air,12 air,9 air,12 oxygen,9 air,9 oxygen,6 air,6 oxygen,3 air,3 oxygen,Total deco time (min),Total OTU,Total ESOT,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,240,12,12,150,1.2,,,,,,10,,5,,,,,17.4,40,82,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,240,12,12,170,1.2,,,,,,10,,10,,,,,22.4,51,104,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,240,12,12,180,1.2,,,,,,10,,10,5,,,,27.4,51,104,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,80,1.5,,,,,,10,,5,,,,,17.7,47,82,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,100,1.5,,,,,,10,,10,,,,,22.7,59,104,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,110,1.5,,,,,,10,,10,5,,,,27.7,60,104,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,120,1.5,,,,,,10,,10,5,5,,,32.7,71,119,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,140,1.5,,,,,,10,,10,5,10,,,37.7,82,133,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,150,1.5,,,,,,10,,10,5,15,,,42.7,93,148,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,160,1.5,,,,,,10,,10,5,20,,,47.7,103,162,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,170,1.5,,,,,,20,5,20,5,5,,,57.7,126,223,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,180,12,15,180,1.5,,,,,,20,5,20,5,10,,,62.7,137,237,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,40,1.8,,,,,,10,,,,,,,13,37,73,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,50,1.8,,,,,,10,,5,,,,,18,52,98,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,60,1.8,,,,,,10,,10,,,,,23,65,122,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,70,1.8,,,,,,10,,10,5,,,,28,67,125,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,90,1.8,,,,,,10,,10,5,5,,,33,82,146,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,100,1.8,,,,,,10,,10,5,10,,,38,94,163,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,110,1.8,,,,,,10,,10,5,15,,,43,106,181,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,120,1.8,,,,,,10,,10,5,20,,,48,118,199,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,130,1.8,,,,,,20,5,20,5,10,,,63,152,276,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,140,1.8,,,,,,20,5,20,5,15,,,68,164,294,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,150,1.8,,,,,,20,5,20,5,20,,,73,176,312,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,160,1.8,,,,,,20,5,20,5,20,5,5,83,186,324,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,120,12,18,170,1.8,,,,,,20,5,20,5,20,5,10,88,196,336,3
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,90,12,21,30,2.1,,,,,,10,,,,,,,13.3,39,73,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,90,12,21,40,2.1,,,,,,10,,5,,,,,18.3,55,98,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,90,12,21,50,2.1,,,,,,10,,10,,,,,23.3,69,123,
Air Diving Surface Decpmpression with Oxygen,SOX15,20.9,90,12,21,60,2.1,,,,,,10,,10,5,5,,,33.3,83,142,
